file_a,file_b,cluster_a,cluster_b,label,d_find,d_phash,d_whash
0555_13551459.jpg,0555_13554694.jpg,0555,0555,within,98,86,50
0555_14141165.jpg,0555_17674094.jpg,0555,0555,within,66,66,50
0555_13552952.jpg,0555_14141165.jpg,0555,0555,within,88,86,50
0555_14141336.jpg,0555_34600335.jpg,0555,0555,within,78,70,40
0555_13550735.jpg,0555_34507392.jpg,0555,0555,within,78,72,46
0022_12380035.jpg,0022_14190824.jpg,0022,0022,within,24,26,18
0022_11291144.jpg,0022_14925846.jpg,0022,0022,within,42,38,30
0022_12657764.jpg,0022_15464455.jpg,0022,0022,within,40,38,38
0022_16171410.jpg,0022_28560458.jpg,0022,0022,within,48,38,36
0022_11048002.jpg,0022_16616255.jpg,0022,0022,within,58,52,38
0607_28156509.jpg,0607_28597566.jpg,0607,0607,within,30,34,19
0607_26640627.jpg,0607_28648244.jpg,0607,0607,within,48,48,25
0607_21036346.jpg,0607_26156181.jpg,0607,0607,within,52,46,31
0607_21036346.jpg,0607_28267724.jpg,0607,0607,within,66,58,31
0607_26640627.jpg,0607_28875469.jpg,0607,0607,within,52,42,21
0753_20932341.jpg,0753_22576038.jpg,0753,0753,within,48,44,24
0753_20932345.jpg,0753_22576044.jpg,0753,0753,within,46,44,28
0753_20932340.jpg,0753_22062299.jpg,0753,0753,within,72,68,34
0753_20932346.jpg,0753_20932646.jpg,0753,0753,within,50,50,22
0753_20932341.jpg,0753_21226196.jpg,0753,0753,within,56,44,12
0552_12983738.jpg,0552_22887332.jpg,0552,0552,within,62,68,38
0552_12782408.jpg,0552_31746571.jpg,0552,0552,within,60,64,34
0552_12903950.jpg,0552_33116852.jpg,0552,0552,within,50,50,12
0552_12748359.jpg,0552_31663900.jpg,0552,0552,within,62,56,48
0552_29581872.jpg,0552_34790696.jpg,0552,0552,within,74,76,44
0526_13380953.jpg,0526_20007197.jpg,0526,0526,within,134,134,120
